번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
259,사랑채노인전문요양원,경기도 고양시 덕양구 대자동 241-6번지 ,,20061026,운영중,,,,,,,,,,189735.749005       ,463302.664022       ,운영
260,바다의별 요양원,인천광역시 강화군 선원면 선행리 176-1번지 ,,20100430,운영중,,,,,,,,,,153567.883768       ,469376.285953       ,운영
261,천안원광소규모노인종합센터,충청남도 천안시 서북구 직산읍 남산리 203-12번지 ,,20090722,운영중,,,,,,,,,,215857.241288       ,377236.508457       ,운영
262,미리내요양원,경기도 용인시 처인구 이동면 묘봉리 83번지 ,,20100301,운영중,,,,,,,,1,,221495.127561       ,402950.54934        ,운영
263,구립영등포노인케어센터,서울특별시 영등포구 문래동3가 76-2번지 ,,20080401,운영중,,,,,,,65,3,38,190237.551919       ,446074.517659       ,운영
264,대명요양센터,서울특별시 영등포구 양평동4가 68-1번지 ,,20080627,운영중,,,,,,,49,,35,190743.640805       ,448249.539986       ,운영
265,서울특별시립 엘림노인전문요양원,경기도 군포시 산본동 1100번지 ,,20050103,운영중,,,,,,,190,4,82,193312.818907       ,429325.532881       ,운영
266,서울특별시립 엘림요양원,경기도 군포시 산본동 1100번지 ,,19970901,운영중,,,,,,,50,0,19,193312.818907       ,429325.532881       ,운영
267,봄날북한산요양원,서울특별시 강북구 수유동 ,,20150724,운영중,,,,,,,121,4,2,,,운영
268,구로 미가 요양원,서울특별시 구로구 천왕동 ,,20151230,운영중,,,,,,,21,,3,,,운영
269,한솔요양원,서울특별시 성북구 하월곡동 401호,,20160913,운영중,,,,,,,29,10,2,,,운영
270,큰사랑노인요양원,서울특별시 도봉구 방학동 렉시온프라자 ,,20170906,운영중,,,,,,,28,,,,,운영
271,푸른요양원2호점,서울특별시 강북구 수유동 ,,20170901,운영중,,,,,,,27,,,,,운영
272,청화요양원,서울특별시 성북구 정릉동 ,,20140109,운영중,,,,,,,36,,3,,,운영
273,보문요양원,"서울특별시 성북구 안암동1가 (안암동1가, 2층~5층) ",,20140127,운영중,,,,,,,29,,13,,,운영
274,성신노인요양원,서울특별시 성북구 동소문동7가 8-2번지 ,,20120921,운영중,,,,,,,26,5,5,201258.563067       ,454876.22275        ,운영
275,케어윌,서울특별시 성북구 보문동7가 105-1번지 ,,20100721,운영중,,,,,,,110,1,8,201932.017827       ,453071.709293       ,운영
276,백마요양원,서울특별시 성북구 종암동 16-11번지 ,,20110304,운영중,,,,,,,25,1,1,203062.931111       ,455171.360799       ,운영
277,진각노인요양센터,서울특별시 성북구 하월곡동 22-38번지 ,,20090918,운영중,,,,,,,120,1,68,203587.237742       ,455861.243327       ,운영
278,길음안나의집 노인전문요양원,서울특별시 성북구 길음동 ,,20100208,운영중,,,,,,,60,1,31,,,운영
279,부모섬김노인요양원,서울특별시 성북구 하월곡동 77-221번지 로만프라자 3층 ,,20100302,운영중,,,,,,,29,1,12,203083.917721       ,456503.492477       ,운영
280,성북노인요양원,서울특별시 성북구 삼선동4가 9번지 ,,20100302,운영중,,,,,,,22,1,7,200882.542886       ,454095.061423       ,운영
281,보문요양원,서울특별시 성북구 안암동1가 245-4번지 ,,20100625,운영중,,,,,,,29,2,3,201763.457193       ,453897.914193       ,운영
