기간	자치구	동	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	자치구	동	전체인구	전체인구	전체인구	내국인	내국인	내국인
기간	자치구	동	계	남자	여자	계	남자	여자
2010	구로구	구로2동	38,654	19,804	18,850	3,884	1,736	2,148
2010	구로구	개봉1동	37,600	18,992	18,608	3,484	1,586	1,898
2010	금천구	소계	264,544	135,717	128,827	23,675	10,478	13,197
2010	금천구	가산동	25,184	14,054	11,130	1,719	810	909
2010	금천구	독산1동	37,956	19,742	18,214	3,157	1,407	1,750
2010	금천구	독산2동	24,825	12,595	12,230	1,977	870	1,107
2010	금천구	독산3동	32,079	16,314	15,765	2,736	1,226	1,510
2010	금천구	독산4동	20,676	10,568	10,108	1,662	772	890
2010	금천구	시흥1동	34,578	17,569	17,009	3,433	1,539	1,894
2010	금천구	시흥2동	25,737	12,849	12,888	2,474	1,073	1,401
2010	금천구	시흥3동	12,924	6,549	6,375	1,479	646	833
2010	금천구	시흥4동	25,291	12,749	12,542	2,296	987	1,309
2010	금천구	시흥5동	25,294	12,728	12,566	2,742	1,148	1,594
2010	영등포구	소계	445,648	225,127	220,521	42,083	18,650	23,433
2010	영등포구	여의동	34,978	16,851	18,127	4,185	1,844	2,341
2010	영등포구	당산1동	22,115	11,102	11,013	2,332	1,057	1,275
2010	영등포구	당산2동	34,188	16,826	17,362	3,246	1,406	1,840
2010	영등포구	양평1동	17,331	8,752	8,579	1,691	736	955
2010	영등포구	양평2동	22,094	11,248	10,846	1,683	724	959
2010	영등포구	신길1동	26,767	13,564	13,203	2,578	1,137	1,441
2010	영등포구	신길3동	20,595	10,308	10,287	2,116	888	1,228
2010	영등포구	신길4동	14,551	7,365	7,186	1,484	621	863
2010	영등포구	신길5동	21,610	10,961	10,649	1,953	846	1,107
2010	영등포구	신길6동	26,396	13,229	13,167	2,543	1,076	1,467
2010	영등포구	신길7동	19,876	9,943	9,933	1,745	714	1,031
2010	영등포구	대림1동	21,475	10,957	10,518	1,842	823	1,019
2010	영등포구	대림2동	26,339	13,253	13,086	2,135	1,005	1,130
2010	영등포구	대림3동	32,771	16,651	16,120	2,564	1,170	1,394
2010	영등포구	영등포본동	29,051	14,810	14,241	2,521	1,129	1,392
2010	영등포구	영등포동	20,076	11,301	8,775	2,386	1,157	1,229
2010	영등포구	도림동	22,778	11,640	11,138	2,071	924	1,147
2010	영등포구	문래동	32,657	16,366	16,291	3,008	1,393	1,615
2010	동작구	소계	413,814	203,608	210,206	42,368	18,690	23,678
2010	동작구	노량진2동	17,729	8,803	8,926	2,011	863	1,148
2010	동작구	상도1동	40,625	19,999	20,626	4,211	1,842	2,369
2010	동작구	상도2동	26,915	13,151	13,764	2,799	1,223	1,576
2010	동작구	상도3동	25,095	12,353	12,742	2,829	1,262	1,567
2010	동작구	상도4동	30,399	15,153	15,246	3,203	1,420	1,783
2010	동작구	사당1동	24,377	11,716	12,661	2,152	1,017	1,135
2010	동작구	사당3동	25,517	12,560	12,957	2,580	1,196	1,384
2010	동작구	사당4동	15,516	7,612	7,904	1,573	698	875
2010	동작구	사당5동	15,924	7,938	7,986	1,479	666	813
2010	동작구	대방동	40,939	20,018	20,921	3,665	1,570	2,095
2010	동작구	신대방1동	29,976	14,768	15,208	2,493	1,112	1,381
2010	동작구	신대방2동	21,133	10,332	10,801	2,018	918	1,100
2010	동작구	흑석동	33,752	16,502	17,250	4,240	1,787	2,453
2010	동작구	노량진1동	34,898	17,524	17,374	3,890	1,635	2,255
2010	동작구	사당2동	31,019	15,179	15,840	3,225	1,481	1,744
2010	관악구	소계	549,736	278,445	271,291	50,350	22,709	27,641
2010	관악구	보라매동	30,162	14,984	15,178	2,717	1,215	1,502
2010	관악구	청림동	17,383	8,588	8,795	1,760	723	1,037
2010	관악구	행운동	30,382	15,109	15,273	2,730	1,264	1,466
2010	관악구	낙성대동	18,281	9,446	8,835	1,451	653	798
2010	관악구	중앙동	15,248	7,545	7,703	1,624	741	883
2010	관악구	인헌동	29,010	14,430	14,580	2,522	1,157	1,365
2010	관악구	남현동	18,026	8,710	9,316	1,687	785	902
2010	관악구	서원동	27,588	13,826	13,762	2,142	977	1,165
2010	관악구	신원동	20,978	10,377	10,601	2,184	965	1,219
2010	관악구	서림동	24,903	13,650	11,253	2,189	983	1,206
2010	관악구	신사동	27,530	13,804	13,726	2,186	1,009	1,177
2010	관악구	신림동	21,265	10,545	10,720	1,320	614	706
2010	관악구	난향동	18,323	9,180	9,143	1,640	738	902
2010	관악구	조원동	19,891	10,042	9,849	1,828	857	971
2010	관악구	대학동	23,455	14,000	9,455	1,809	829	980
